label,B,P,O,D,H,E,I,total_latency_s,total_energy_j,AV_latency_s,AV_power_w,AV_energy_j,Down-proj_latency_s,Down-proj_power_w,Down-proj_energy_j,FFN-1_latency_s,FFN-1_power_w,FFN-1_energy_j,K-proj_latency_s,K-proj_power_w,K-proj_energy_j,Output-proj_latency_s,Output-proj_power_w,Output-proj_energy_j,Q-proj_latency_s,Q-proj_power_w,Q-proj_energy_j,QKT_latency_s,QKT_power_w,QKT_energy_j,Softmax_latency_s,Softmax_power_w,Softmax_energy_j,V-proj_latency_s,V-proj_power_w,V-proj_energy_j
batch_1_seq_1_m1,1,1,9216,9216,72,128,36864,0.0017119953414780668,0.10685255819395537,0.00015306472778320312,51.2,0.0078369140625,0.0005102157592773438,51.83,0.026444482803344726,0.0005102157592773438,51.83,0.026444482803344726,0.000152587890625,51.4,0.007843017578125,0.0005103349685668945,51.35,0.026205700635910035,0.00015425682067871094,51.5,0.007944226264953613,1.874659269876973e-05,53.66,0.0010059421642159836,2.9206275939941406e-05,51.32,0.001498866081237793,3.170967102050781e-05,51.37,0.0016289258003234863
batch_1_seq_1_m2048,1,1,9216,9216,72,128,36864,0.001729385402549531,0.12603441212937558,0.0001537799835205078,52.4,0.00805807113647461,0.0005121231079101562,64.24,0.032898788452148435,0.0005121231079101562,64.24,0.032898788452148435,0.0001531839370727539,60.06,0.0092002272605896,0.00051116943359375,52.22,0.026693267822265623,0.0001533031463623047,69.21,0.010610110759735107,2.433493410470685e-05,76.55,0.0018628392057153094,3.802776336669922e-05,56.14,0.002134878635406494,3.2067298889160156e-05,52.31,0.001677440404891968
batch_256_seq_1_m1,256,1,9216,9216,72,128,36864,0.002717386217624388,0.18162216200956852,0.00024175643920898438,51.7,0.012498807907104493,0.0007921457290649414,52.13,0.0412945568561554,0.0007921457290649414,52.13,0.0412945568561554,0.00023937225341796875,51.55,0.012339639663696288,0.0008753538131713867,65.38,0.05723063230514526,0.0002396106719970703,51.65,0.012375891208648682,1.8607111484251443e-05,54.25,0.0010094357980206408,3.62396240234375e-05,51.59,0.0018696022033691407,3.314018249511719e-05,51.57,0.0017090392112731935
batch_256_seq_1_m2048,256,1,9216,9216,72,128,36864,0.0030597980740000898,0.2479374482562241,0.00024127960205078125,52.27,0.012611684799194337,0.0007917881011962891,64.14,0.05078528881072998,0.0007917881011962891,64.14,0.05078528881072998,0.00024199485778808594,51.81,0.012537753582000733,0.0008761882781982422,52.05,0.045605599880218506,0.00024080276489257812,51.92,0.012502479553222657,0.00017684061550399632,281.06,0.049702823393553204,0.00010132789611816406,56.08,0.005682468414306641,0.00014865398406982422,51.96,0.007724061012268067
batch_2_seq_1_m1,2,1,9216,9216,72,128,36864,0.0017239708689194692,0.14572159395866754,0.00015473365783691406,52.64,0.008145179748535156,0.0005097389221191406,81.42,0.04150294303894043,0.0005097389221191406,81.42,0.04150294303894043,0.00015437602996826172,51.79,0.007995134592056275,0.0005178451538085938,66.04,0.03419849395751953,0.0001531839370727539,51.9,0.007950246334075928,1.856277260599257e-05,54.09,0.0010040603702581381,2.9921531677246094e-05,61.46,0.001838977336883545,3.063678741455078e-05,51.69,0.0015836155414581299
batch_2_seq_1_m2048,2,1,9216,9216,72,128,36864,0.001751434606046399,0.12348276065992239,0.00015485286712646484,51.81,0.008022927045822144,0.0005121231079101562,57.42,0.029406108856201173,0.0005121231079101562,57.42,0.029406108856201173,0.00015354156494140625,51.66,0.007931957244873047,0.0005246400833129883,66.6,0.03494102954864502,0.00015473365783691406,51.86,0.008024487495422363,2.4807256192883387e-05,76.3,0.0018927936475170023,3.647804260253906e-05,55.98,0.0020420408248901364,3.516674041748047e-05,51.62,0.0018153071403503418
batch_4_seq_1_m1,4,1,9216,9216,72,128,36864,0.001739255899708711,0.12178158084274321,0.0001544952392578125,51.42,0.00794414520263672,0.0005161762237548828,59.12,0.03051633834838867,0.0005161762237548828,59.12,0.03051633834838867,0.00015532970428466797,80.55,0.012511807680130004,0.0005186796188354492,51.57,0.026748307943344117,0.0001538991928100586,51.44,0.007916574478149413,1.846980504318363e-05,53.66,0.0009910897386172337,3.2067298889160156e-05,51.4,0.001648259162902832,3.528594970703125e-05,84.7,0.002988719940185547
batch_4_seq_1_m2048,4,1,9216,9216,72,128,36864,0.0017396512467778443,0.11108947459079489,0.0001533031463623047,51.98,0.007968697547912598,0.0005134344100952148,52.12,0.026760201454162597,0.0005134344100952148,52.12,0.026760201454162597,0.00015270709991455078,51.86,0.007919390201568604,0.0005191564559936523,52.0,0.026996135711669922,0.00015163421630859375,51.93,0.007874364852905274,2.4825616589856074e-05,86.76,0.002153870495335913,4.076957702636719e-05,75.75,0.0030882954597473145,3.0159950256347656e-05,52.0,0.0015683174133300781
batch_8_seq_1_m1,8,1,9216,9216,72,128,36864,0.0017470382106891927,0.12032343783059102,0.0001538991928100586,51.87,0.007982751131057739,0.0005182027816772461,51.89,0.026889542341232302,0.0005182027816772461,51.89,0.026889542341232302,0.00015556812286376953,82.99,0.012910598516464233,0.0005244016647338867,52.04,0.027289862632751464,0.0001596212387084961,83.45,0.013320392370224,1.838430291331372e-05,54.15,0.0009955100027559379,3.361701965332031e-05,51.86,0.0017433786392211915,3.123283386230469e-05,73.7,0.0023018598556518556
batch_8_seq_1_m2048,8,1,9216,9216,72,128,36864,0.001753790397954181,0.16871872157003823,0.00015401840209960938,79.28,0.01221057891845703,0.0005186796188354492,82.53,0.04280662894248963,0.0005186796188354492,82.53,0.04280662894248963,0.00015413761138916016,82.62,0.012734849452972413,0.0005229711532592773,75.05,0.03924898505210876,0.00015342235565185547,76.55,0.011744481325149535,2.585174591560674e-05,96.63,0.002498054207825079,3.802776336669922e-05,55.01,0.002091907262802124,3.2067298889160156e-05,80.35,0.0025766074657440183
