label,B,P,O,D,H,E,I,total_latency_s,total_energy_j,AV_latency_s,AV_power_w,AV_energy_j,Down-proj_latency_s,Down-proj_power_w,Down-proj_energy_j,FFN-1_latency_s,FFN-1_power_w,FFN-1_energy_j,K-proj_latency_s,K-proj_power_w,K-proj_energy_j,Output-proj_latency_s,Output-proj_power_w,Output-proj_energy_j,Q-proj_latency_s,Q-proj_power_w,Q-proj_energy_j,QKT_latency_s,QKT_power_w,QKT_energy_j,Softmax_latency_s,Softmax_power_w,Softmax_energy_j,V-proj_latency_s,V-proj_power_w,V-proj_energy_j
batch_1_seq_1024,1,1024,9216,9216,72,128,36864,0.01040127512180444,1.5161945923891935,0.0008752346038818359,52.24,0.04572225570678711,0.0030517578125,149.08,0.45495605468750006,0.0030517578125,149.08,0.45495605468750006,0.0008751153945922852,52.24,0.04571602821350098,0.0031201839447021484,100.27,0.3128608441352844,0.0008752346038818359,85.59,0.07491132974624634,0.00027706857883568966,337.68,0.09356051770123569,0.00017571449279785156,56.83,0.009985854625701904,0.00027489662170410156,85.58,0.023525652885437013
batch_1_seq_2048,1,2048,9216,9216,72,128,36864,0.0218337889640562,4.322976768862817,0.0017154216766357422,52.19,0.08952785730361938,0.00605618953704834,215.18,1.3031708645820619,0.00605618953704834,215.18,1.3031708645820619,0.0017161369323730469,52.44,0.08999422073364258,0.0061953067779541016,152.29,0.9434832692146301,0.0017157793045043945,52.75,0.09050735831260681,0.0012000914542905747,325.16,0.3902217372771233,0.0005518198013305664,87.28,0.048162832260131835,0.0009666681289672852,66.97,0.06473776459693908
batch_1_seq_256,1,256,9216,9216,72,128,36864,0.0027506806392191513,0.18487340709293124,0.00024116039276123047,51.9,0.012516224384307861,0.0007920265197753906,51.57,0.040844807624816896,0.0007920265197753906,51.57,0.040844807624816896,0.00024116039276123047,51.36,0.012385997772216797,0.0008751153945922852,62.83,0.05498350024223327,0.0002409219741821289,51.26,0.012349660396575927,2.9728605222569202e-05,176.36,0.005242936817052305,4.1961669921875e-05,76.91,0.003227272033691406,4.8279762268066406e-05,51.33,0.0024782001972198484
batch_1_seq_512,1,512,9216,9216,72,128,36864,0.005303257935652743,0.7168172036046567,0.0004476308822631836,52.67,0.02357671856880188,0.0015450716018676758,52.56,0.08120896339416504,0.0015450716018676758,52.56,0.08120896339416504,0.0004469156265258789,83.44,0.037290639877319336,0.0017169713973999023,252.92,0.4342564058303833,0.00044524669647216797,59.0,0.02626955509185791,8.248709977627891e-05,285.95,0.023587186181026953,8.094310760498047e-05,57.06,0.004618613719940185,9.250640869140625e-05,51.89,0.00480015754699707
batch_2_seq_1024,2,1024,9216,9216,72,128,36864,0.02036932877131871,4.989369410037995,0.0017169713973999023,86.98,0.1493421721458435,0.006058692932128906,281.11,1.703159170150757,0.006058692932128906,281.11,1.703159170150757,0.0017173290252685547,52.95,0.09093257188796998,0.006093263626098633,157.42,0.9592015600204467,0.00171661376953125,80.55,0.1382732391357422,0.0005287306649344308,357.98,0.18927500343322753,0.0003063678741455078,95.64,0.029301023483276366,0.0005118846893310547,52.21,0.026725499629974364
batch_2_seq_2048,2,2048,9216,9216,72,128,36864,0.03849051892757416,12.456351316422225,0.0031175613403320312,273.94,0.8540247535705566,0.010385751724243164,342.73,3.55950868844986,0.010385751724243164,342.73,3.55950868844986,0.0031197071075439453,57.06,0.17801048755645751,0.010357499122619629,236.58,2.450377142429352,0.0031197071075439453,172.6,0.538461446762085,0.0023524612188339233,340.61,0.8012718157470227,0.0010281801223754883,77.76,0.07995128631591797,0.0018897056579589844,230.32,0.43523700714111324
batch_2_seq_256,2,256,9216,9216,72,128,36864,0.005217776964536216,0.37662403284529167,0.00044727325439453125,71.57,0.032011346817016596,0.0015434026718139648,60.7,0.09368454217910767,0.0015434026718139648,60.7,0.09368454217910767,0.0004477500915527344,52.25,0.02339494228363037,0.001716017723083496,51.95,0.08914712071418762,0.00044858455657958984,52.17,0.023402656316757205,5.3034494748618593e-05,241.8,0.012823740830215976,5.5670738220214844e-05,89.72,0.0049947786331176755,5.888938903808594e-05,59.1,0.003480362892150879
batch_2_seq_512,2,512,9216,9216,72,128,36864,0.010068326033363047,2.809289026639258,0.0008742809295654297,52.7,0.04607460498809815,0.0030524730682373047,280.08,0.8549366569519042,0.0030524730682373047,280.08,0.8549366569519042,0.0008748769760131836,52.12,0.04559858798980713,0.003118276596069336,278.38,0.8680658388137817,0.0008745193481445312,85.16,0.07447406768798828,0.00013998035312623016,345.65,0.048384209058081454,0.00010538101196289062,83.26,0.008774023056030275,0.00015401840209960938,52.23,0.008044381141662596
batch_4_seq_1024,4,1024,9216,9216,72,128,36864,0.0357296797964308,11.75598949935701,0.0031200647354125977,274.49,0.856426569223404,0.010387539863586426,348.15,3.616422003507614,0.010387539863586426,348.15,3.616422003507614,0.0031194686889648438,144.55,0.4509191989898682,0.010265827178955078,251.67,2.5836007261276244,0.0031195878982543945,54.29,0.16936242699623108,0.0010302397939893934,362.24,0.37319406297471786,0.0005739927291870117,57.78,0.03316529989242554,0.000993967056274414,56.82,0.056477208137512204
batch_4_seq_2048,4,2048,9216,9216,72,128,36864,0.07576996088027954,28.392403658628464,0.006197094917297363,138.06,0.855570924282074,0.020732879638671875,352.13,7.3006689071655275,0.020732879638671875,352.13,7.3006689071655275,0.005268096923828125,323.51,1.7042820358276367,0.020720601081848145,347.82,7.207039468288421,0.006196022033691406,277.19,1.7174753475189208,0.004682362079620361,347.14,1.6254351723194123,0.0020394325256347656,85.36,0.17408596038818358,0.003737211227416992,135.71,0.50717693567276
